,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,402.75,276.75,410.75,265.25,394.5,267.5,435.0,257.5,0.0,0.0,454.25,314.0,422.0,304.75,380.75,373.25,395.75,363.75,366.0,327.0,377.0,322.25,476.5,469.5,427.5,467.0,497.5,576.5,403.5,566.5,523.0,642.5,425.5,635.0
1,399.75,275.5,408.0,263.75,391.0,266.0,432.0,256.0,0.0,0.0,452.5,312.0,424.0,302.5,377.0,371.0,399.0,360.5,364.5,324.25,380.0,317.75,475.5,468.5,427.5,465.75,498.0,576.5,402.75,564.0,523.0,643.0,425.5,635.5
2,397.25,274.5,406.25,262.5,388.5,264.25,430.5,254.5,0.0,0.0,451.0,310.0,420.5,300.0,373.5,370.0,395.0,364.0,365.5,322.0,379.5,317.5,475.25,466.5,426.25,464.0,498.75,575.0,402.25,562.0,523.0,643.0,426.0,635.0
3,395.25,273.0,404.25,260.75,386.5,262.75,429.25,252.5,0.0,0.0,449.5,309.5,425.0,296.5,370.5,368.5,404.25,360.0,360.5,319.25,381.25,313.5,475.75,465.5,426.75,462.25,500.25,574.0,403.0,561.0,523.0,643.0,425.75,635.5
4,395.0,270.5,403.75,258.5,386.25,260.75,428.0,251.0,0.0,0.0,449.0,306.0,424.0,296.5,371.5,363.25,406.25,366.25,355.25,317.0,383.75,313.5,475.0,463.25,426.75,461.0,500.5,571.0,404.25,559.5,523.0,642.5,426.25,637.0
5,392.75,269.5,401.75,258.0,384.75,259.25,427.0,250.625,0.0,0.0,447.5,305.5,425.0,293.25,371.5,363.25,410.5,355.75,355.0,315.75,383.0,307.25,474.75,461.25,428.0,458.5,499.75,569.0,405.0,557.0,522.5,641.5,426.5,636.0
6,392.25,269.0,402.0,257.5,384.0,258.5,426.5,249.625,0.0,0.0,447.25,305.0,424.5,291.5,370.5,365.0,411.75,350.75,357.0,315.25,382.5,306.0,474.5,459.0,428.0,456.5,499.0,565.0,405.5,553.5,522.5,641.0,426.5,635.5
7,391.5,271.0,400.75,259.0,382.25,260.75,424.0,250.75,0.0,0.0,447.0,304.25,417.75,293.0,373.0,372.25,405.0,357.5,356.5,317.5,378.5,307.5,475.5,458.5,428.0,456.5,497.5,565.5,405.75,555.0,522.0,642.0,426.0,635.0
8,391.5,273.25,400.25,261.0,382.5,263.5,424.0,251.75,0.0,0.0,448.5,306.0,418.75,295.5,376.5,375.5,403.0,357.75,358.0,327.5,379.5,314.5,476.25,460.75,429.0,458.0,496.75,569.5,405.75,555.5,522.0,642.0,425.5,635.0
9,394.25,276.5,401.75,264.25,384.75,267.25,425.0,253.875,0.0,0.0,451.75,308.0,420.0,300.5,385.5,379.5,408.5,372.0,355.5,337.5,381.5,328.75,476.5,463.75,429.0,461.5,496.5,571.5,405.25,557.0,522.0,642.0,425.0,636.0
10,395.0,280.75,403.5,268.5,385.25,271.5,426.5,258.5,0.0,0.0,456.0,313.5,406.75,305.0,397.5,387.25,402.25,373.0,358.0,346.75,375.5,334.75,477.25,466.0,426.25,463.5,496.5,575.5,403.75,560.0,522.5,642.0,425.25,635.0
11,398.5,285.0,406.75,273.0,388.5,275.75,429.75,262.5,0.0,0.0,459.5,317.25,408.0,311.75,411.5,398.25,407.0,380.0,360.5,363.25,371.25,348.25,477.75,469.0,427.25,466.25,495.0,577.5,402.75,562.0,522.0,642.0,425.25,635.0
