,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,437.25,192.25,447.0,181.875,428.25,182.625,465.0,179.875,419.25,181.5,494.5,241.25,406.75,243.25,507.75,317.25,400.5,309.5,457.0,355.5,418.0,347.25,487.5,384.0,430.5,384.25,484.0,483.75,429.0,481.5,484.5,572.0,431.25,567.0
1,438.5,191.375,448.25,181.0,429.5,182.0,466.25,180.625,420.5,182.125,494.75,241.0,408.0,243.25,509.0,317.0,402.5,309.75,457.5,355.0,419.0,349.0,487.75,384.0,431.0,384.25,484.25,483.75,429.5,481.75,484.75,571.0,432.25,567.0
2,440.25,189.75,450.25,179.25,431.25,180.125,469.25,179.125,0.0,0.0,497.25,241.25,410.25,243.0,510.5,317.0,404.5,309.5,459.75,355.0,420.5,348.0,488.25,384.0,431.5,384.0,483.25,483.5,429.75,481.25,484.5,572.5,433.0,567.0
3,441.0,189.5,450.75,179.25,432.0,179.875,469.5,179.625,423.5,181.125,497.5,241.25,411.0,243.375,510.75,317.25,405.5,310.75,460.5,354.75,421.5,349.25,488.25,384.5,431.5,384.75,484.0,484.25,430.25,483.0,485.0,573.0,434.75,567.0
4,441.0,189.625,451.0,179.375,432.25,179.875,470.25,180.375,424.0,181.75,497.75,241.75,411.5,243.75,510.25,317.5,406.0,311.25,461.0,356.0,422.75,350.5,487.5,384.5,431.0,384.5,483.75,484.0,430.25,483.0,484.5,573.0,436.5,567.0
5,441.25,189.75,451.25,179.5,432.25,180.125,470.0,180.0,423.75,181.375,497.25,241.5,411.0,243.75,509.5,318.0,405.5,312.0,460.0,357.0,422.5,352.25,488.0,384.5,431.5,384.75,483.5,484.0,430.25,483.5,484.5,573.0,437.75,567.0
6,441.0,190.375,450.75,180.125,432.25,180.625,468.5,180.625,423.25,181.625,496.25,242.25,410.5,244.0,508.0,318.75,404.0,312.75,458.5,358.25,420.25,350.5,486.75,384.75,430.5,385.0,483.25,484.5,429.5,483.5,484.5,574.0,439.5,566.0
7,440.5,191.0,450.25,180.75,431.5,181.25,467.5,181.375,422.5,182.25,495.0,243.0,410.25,245.0,505.75,319.75,403.5,314.5,456.0,360.25,415.75,352.75,486.0,385.5,429.75,385.75,483.0,486.0,428.5,484.5,484.0,574.0,439.25,566.5
8,437.75,192.625,447.0,182.5,429.0,183.375,464.25,182.25,420.0,183.375,491.5,244.0,408.25,245.875,498.0,322.0,402.5,314.25,444.0,361.5,407.5,355.5,483.0,387.5,428.0,387.75,481.0,488.0,427.25,487.5,483.25,574.0,438.0,567.5
9,435.75,192.75,445.0,183.0,427.25,183.125,462.5,182.25,418.0,184.0,488.75,244.125,408.75,246.5,494.0,323.75,403.0,314.75,438.0,360.0,399.5,354.0,481.0,387.0,427.0,387.0,480.5,485.5,425.75,486.0,485.0,575.5,441.25,570.0
10,434.25,193.625,443.5,183.5,425.75,184.25,460.0,184.375,416.5,184.875,485.75,244.25,407.25,245.0,487.25,323.0,401.5,310.25,428.25,357.5,395.25,349.25,479.25,387.0,426.25,387.0,479.5,489.5,427.25,487.0,482.75,574.0,439.5,567.0
11,432.0,193.75,441.5,184.0,423.75,184.25,458.0,184.5,414.0,185.5,483.5,243.75,408.5,246.625,481.0,323.0,402.5,310.5,418.5,355.25,389.0,344.5,478.0,385.75,425.5,386.0,478.0,486.5,426.5,487.0,484.5,575.5,441.5,571.0
12,430.0,194.25,439.0,184.25,421.25,184.625,456.0,183.75,411.75,185.25,481.0,243.5,408.5,246.25,474.0,321.0,401.5,312.0,407.5,348.25,381.5,337.25,475.5,386.75,424.5,386.5,476.0,487.5,425.75,486.0,485.0,577.0,441.75,570.5
13,428.5,194.625,437.5,184.375,419.75,185.25,454.5,182.75,409.75,184.75,476.75,242.5,409.25,245.125,464.0,318.5,405.5,310.5,399.0,340.0,378.0,330.5,473.5,385.75,424.5,385.5,473.75,487.25,425.5,484.75,484.25,576.5,441.5,570.0
14,426.75,195.25,436.0,185.375,418.0,185.75,453.0,184.625,408.25,185.75,473.75,242.125,410.0,243.75,454.75,315.75,405.5,306.5,388.25,332.25,370.75,321.0,472.0,385.75,424.25,385.0,472.0,488.0,425.5,485.0,483.0,577.0,441.25,570.0
15,424.25,194.75,433.0,184.625,415.75,185.375,449.75,183.25,0.0,0.0,467.0,240.5,412.75,239.5,430.5,306.5,412.0,304.25,368.5,308.0,366.25,304.5,469.5,380.5,425.5,379.5,464.5,484.0,426.0,482.0,483.0,571.0,442.0,570.0
16,422.75,194.5,431.75,184.5,414.5,185.0,448.5,183.25,0.0,0.0,462.75,238.75,412.5,238.875,415.0,302.5,406.5,307.5,358.25,293.25,360.75,298.0,469.5,379.25,426.0,378.5,461.0,483.25,425.75,480.0,483.25,569.5,442.5,569.0
17,421.25,193.875,430.0,183.25,412.75,185.0,449.0,181.0,0.0,0.0,459.5,237.0,417.0,237.25,405.25,295.5,403.5,308.5,354.5,279.0,360.0,285.25,468.5,377.75,428.5,377.5,459.75,482.5,427.5,480.0,483.5,571.0,442.5,569.0
18,418.25,192.5,427.0,181.5,409.5,183.75,446.0,179.0,0.0,0.0,452.0,232.875,426.75,235.5,385.5,278.0,407.75,308.75,348.5,253.5,369.25,270.0,466.75,376.5,432.5,376.0,457.0,481.5,428.0,479.0,483.0,571.0,442.5,568.0
19,416.75,192.0,425.25,181.25,408.25,183.0,443.5,179.0,0.0,0.0,450.25,229.875,426.5,236.625,375.5,270.0,408.0,309.25,359.5,249.5,371.75,268.5,466.75,376.0,433.5,375.75,457.0,482.25,428.0,478.5,482.25,576.0,443.0,567.0
20,413.0,192.0,421.5,181.25,404.75,182.75,440.0,178.0,0.0,0.0,444.5,225.125,428.25,233.0,364.25,257.5,408.75,307.75,364.5,226.25,383.0,258.5,467.0,375.25,436.0,375.25,456.75,484.5,429.25,479.5,483.25,586.5,442.5,567.5
21,411.0,192.0,419.75,181.125,402.5,183.0,438.75,178.75,0.0,0.0,442.0,225.0,432.75,232.5,363.5,259.25,412.5,312.5,370.5,232.75,382.5,258.75,465.75,377.25,436.0,376.75,458.5,489.0,430.5,482.5,483.5,592.0,442.5,568.0
22,409.75,193.0,418.0,181.75,400.75,184.0,436.25,176.75,0.0,0.0,441.0,224.625,431.0,231.0,359.0,258.0,413.0,311.75,375.5,233.75,386.5,250.0,466.25,376.75,435.5,376.25,459.0,489.5,429.5,483.0,483.0,598.5,443.0,569.0
23,406.75,196.5,414.75,184.875,397.25,188.125,436.0,179.5,0.0,0.0,440.5,228.5,423.0,229.5,364.5,258.75,367.25,262.75,380.75,229.5,363.75,232.0,467.25,380.5,434.0,379.5,462.75,497.0,427.5,484.75,482.5,612.0,442.0,570.0
24,404.25,198.875,412.75,187.25,394.75,190.125,434.0,181.0,0.0,0.0,439.5,230.625,419.25,231.25,362.0,260.5,368.0,267.5,360.5,228.5,0.0,0.0,469.25,381.75,433.0,381.0,465.25,500.0,425.25,485.5,481.5,617.5,442.5,570.5
25,403.5,201.75,411.5,190.0,394.0,193.375,433.75,183.375,0.0,0.0,439.0,233.0,423.5,234.25,364.0,265.25,375.75,274.5,385.0,228.5,382.0,235.25,470.5,385.75,434.5,384.5,468.0,505.0,424.5,488.0,480.5,623.0,442.0,571.0
26,401.0,208.75,409.75,197.0,391.25,200.0,431.0,192.375,0.0,0.0,437.0,241.875,418.75,242.625,365.0,274.0,369.25,284.0,350.5,234.0,344.75,242.5,472.5,394.75,437.75,393.5,471.25,515.5,423.5,495.75,481.5,634.0,443.0,571.5
27,401.25,213.125,410.0,201.5,391.25,205.0,430.75,198.125,0.0,0.0,437.75,246.125,424.5,246.375,367.5,287.0,381.75,293.25,393.5,252.75,385.75,256.0,474.0,400.0,437.75,398.0,471.25,521.0,421.0,498.5,483.0,641.0,442.5,572.0
