,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,440.75,191.0,448.25,180.5,429.5,181.125,0.0,0.0,406.5,183.0,470.0,252.125,381.25,251.625,482.5,321.5,376.0,334.25,483.0,371.5,437.0,361.0,459.5,397.0,399.75,397.5,465.25,494.0,389.5,497.5,455.5,578.5,384.5,583.0
1,440.75,190.75,448.0,180.25,429.25,181.25,0.0,0.0,405.5,183.5,469.75,252.0,380.25,252.25,482.0,321.5,376.0,335.0,483.0,371.75,437.5,359.0,459.25,395.5,399.5,396.25,464.5,492.0,389.0,495.25,455.25,578.5,384.25,583.5
2,439.0,191.25,446.75,180.375,427.5,181.375,0.0,0.0,405.0,183.75,470.0,252.0,380.0,251.75,482.75,321.0,375.75,333.75,483.0,371.25,434.25,360.25,459.25,396.0,399.25,396.5,464.75,493.0,388.5,496.5,454.5,577.5,384.0,584.0
3,438.5,191.75,446.0,180.875,426.75,182.0,0.0,0.0,405.0,184.5,470.25,252.0,379.5,252.125,483.5,320.75,376.0,334.5,483.0,370.75,435.0,358.5,459.5,395.0,399.75,395.75,464.25,491.75,388.0,496.5,454.5,578.0,384.0,584.0
4,437.5,192.375,444.75,181.5,426.0,182.75,0.0,0.0,404.25,184.25,470.5,251.5,379.5,251.75,485.0,320.5,376.0,334.25,483.25,370.75,434.0,358.5,459.5,395.5,399.75,396.0,463.75,492.5,388.0,496.0,454.25,578.0,383.5,583.0
5,436.0,194.0,443.75,182.75,424.25,184.5,0.0,0.0,403.25,185.125,472.25,252.25,380.25,252.625,486.75,321.5,374.75,332.75,483.0,371.5,417.5,355.75,459.5,398.0,399.5,398.0,462.75,494.5,387.25,497.0,453.5,578.5,383.5,582.5
6,433.0,195.625,441.0,184.0,421.0,186.0,0.0,0.0,400.75,186.375,472.5,252.75,379.75,253.125,488.5,321.75,373.5,325.25,481.75,372.25,397.0,357.75,458.75,396.5,398.75,396.25,462.25,493.75,386.25,495.5,454.0,578.0,383.5,582.0
7,430.0,197.0,438.25,185.5,418.5,187.875,450.0,183.125,399.5,188.0,473.75,253.625,378.75,253.25,490.0,322.25,372.75,323.75,480.75,374.5,389.0,369.5,459.0,398.0,398.0,397.0,462.0,494.75,384.5,495.5,453.5,577.0,383.25,581.0
8,421.75,203.0,430.5,191.125,410.0,193.875,445.0,187.5,393.5,193.875,472.5,255.5,377.75,256.5,492.75,326.25,367.0,325.5,475.25,377.5,384.75,363.25,458.25,400.25,396.75,399.5,460.25,496.25,381.5,497.5,453.5,579.0,385.5,581.5
9,416.25,207.5,425.25,195.75,404.75,198.0,442.0,190.75,390.25,196.5,471.5,257.5,376.25,259.25,492.5,330.25,370.5,331.5,470.5,381.5,392.25,369.5,456.75,400.5,396.0,399.5,458.75,495.5,379.25,496.5,453.75,579.0,388.5,579.0
