,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,485.75,255.125,496.0,243.25,476.0,246.625,519.5,244.75,0.0,0.0,552.0,310.0,467.75,312.5,569.0,387.0,459.5,382.5,540.0,429.75,468.0,385.75,544.5,454.25,488.25,455.75,555.5,540.0,483.25,548.5,569.0,614.5,492.0,639.0
1,492.0,257.25,502.0,245.25,482.5,248.5,527.5,246.5,0.0,0.0,558.0,310.25,474.75,310.75,576.0,389.0,466.0,375.5,545.0,431.75,467.5,387.5,549.0,453.5,492.25,454.5,559.0,541.0,484.0,549.0,571.0,615.0,494.75,640.0
2,494.5,257.25,504.5,245.125,485.5,248.0,531.5,246.0,0.0,0.0,561.0,310.0,478.0,310.5,579.0,388.25,465.25,379.5,548.0,432.0,472.5,388.5,550.0,453.0,494.0,453.5,559.5,542.5,486.75,550.0,570.0,615.5,495.0,640.5
3,496.75,256.25,507.0,244.375,487.75,247.75,534.5,245.5,0.0,0.0,564.0,309.5,483.5,310.0,582.0,388.75,468.75,374.75,549.0,432.5,477.25,387.5,553.0,452.75,496.75,452.75,560.5,545.0,486.75,549.0,570.5,616.0,495.5,641.0
4,499.0,255.75,509.25,244.0,490.0,247.375,537.5,244.25,0.0,0.0,566.0,309.75,485.0,309.75,584.0,387.75,474.25,370.25,550.0,431.5,477.0,387.75,554.5,452.5,498.5,451.5,560.5,545.0,488.5,546.5,571.0,616.0,494.75,639.5
5,500.25,255.5,510.75,244.25,492.25,246.75,539.5,245.0,0.0,0.0,568.0,310.0,487.25,310.0,585.5,389.25,475.0,374.5,548.5,433.0,485.5,395.0,555.5,453.5,499.0,453.5,562.0,544.0,490.0,548.0,570.0,617.5,495.25,640.0
6,501.5,255.75,512.0,244.75,494.25,246.5,540.5,245.25,0.0,0.0,569.5,309.75,488.5,309.5,586.0,389.75,478.0,371.0,547.5,431.75,477.75,386.5,556.5,452.75,500.5,452.25,562.5,542.0,491.25,546.0,570.5,616.0,495.25,640.5
7,502.75,254.5,513.5,244.375,496.25,245.125,543.5,245.0,0.0,0.0,571.5,309.5,493.0,307.25,585.0,390.75,477.75,370.75,541.0,430.0,474.75,378.5,558.0,451.75,503.0,450.75,563.5,541.0,492.25,546.5,571.0,617.0,496.25,640.0
8,502.75,254.25,514.0,244.375,496.75,244.5,545.0,245.75,0.0,0.0,573.0,310.5,494.75,306.5,582.5,393.0,483.5,371.5,536.0,431.75,495.5,417.25,558.0,453.5,503.5,451.5,563.0,543.5,493.0,547.0,570.5,617.0,495.25,639.0
9,503.5,254.375,514.5,244.125,497.5,245.25,545.5,245.25,0.0,0.0,573.5,310.5,497.25,306.0,580.0,393.75,484.5,366.5,530.0,430.25,477.25,400.0,559.0,454.5,505.0,452.0,563.0,544.0,495.0,546.0,571.0,620.0,495.5,640.0
