,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,420.75,225.0,425.25,215.5,409.25,217.875,0.0,0.0,386.75,224.25,432.5,279.0,368.75,282.0,459.5,337.5,385.5,355.0,488.0,384.0,423.75,403.5,412.25,404.5,373.5,406.0,390.75,492.25,392.25,502.5,370.0,577.0,415.75,602.5
1,420.75,224.375,425.5,215.0,409.25,217.0,0.0,0.0,387.25,223.875,432.25,279.0,368.25,282.25,460.0,338.5,385.25,355.5,487.75,385.5,420.5,403.75,412.5,405.75,374.25,407.25,389.5,494.0,391.5,504.0,370.0,579.0,416.25,603.5
2,421.25,223.75,425.75,214.5,409.75,216.625,0.0,0.0,386.5,223.25,431.0,278.5,368.75,282.0,459.0,339.0,385.75,355.5,487.5,387.0,421.0,404.75,410.5,404.25,373.25,405.5,389.0,493.75,391.75,503.0,369.75,579.0,416.5,604.0
3,421.25,223.75,425.5,214.375,410.0,216.0,0.0,0.0,386.5,222.875,428.25,277.5,368.75,282.0,456.0,338.5,387.0,357.25,486.0,387.75,422.5,407.0,408.5,402.5,372.0,404.0,390.5,493.0,393.25,501.0,369.75,579.5,416.5,604.5
4,421.5,223.0,425.75,213.625,410.0,215.5,0.0,0.0,386.75,223.25,428.0,278.0,369.0,283.0,455.75,339.25,388.5,359.0,485.25,389.25,424.0,410.25,406.75,402.75,371.25,404.5,389.75,494.0,393.5,502.0,369.25,581.0,416.75,605.0
5,422.0,222.5,426.0,213.25,410.25,215.125,0.0,0.0,387.25,223.5,427.25,278.25,370.5,283.5,454.5,339.25,390.5,361.0,483.5,389.75,427.5,414.5,406.5,402.5,372.0,404.5,390.5,492.75,395.5,501.5,369.75,580.0,416.75,605.5
6,422.5,221.75,426.5,212.625,410.75,214.25,0.0,0.0,386.75,223.0,426.5,278.5,371.25,284.5,453.75,340.25,392.25,362.75,481.5,391.25,426.5,414.25,406.25,403.25,373.0,405.5,390.25,493.0,397.25,502.0,369.25,581.0,418.0,607.0
7,423.0,220.875,426.25,211.875,411.25,214.0,0.0,0.0,388.0,223.375,426.25,278.75,372.75,285.0,453.0,340.75,393.5,364.0,479.25,392.0,430.0,414.75,405.0,404.75,374.0,407.25,389.25,493.5,399.0,503.75,369.0,581.0,418.75,609.0
8,425.0,219.25,427.75,210.125,413.25,212.625,0.0,0.0,390.75,223.25,426.0,278.25,376.5,284.0,449.0,342.25,397.0,364.75,473.0,396.5,437.0,415.25,406.5,405.75,377.5,408.75,390.0,490.75,407.5,502.75,369.5,580.5,419.75,612.0
9,426.75,218.625,428.5,209.625,415.0,212.5,0.0,0.0,392.0,223.5,424.5,276.75,378.0,284.0,445.25,341.0,400.75,364.0,467.0,394.5,440.0,410.0,405.25,406.0,380.75,410.0,390.25,492.0,411.25,504.75,370.25,581.0,420.25,613.0
10,427.5,218.0,429.75,209.25,416.0,211.125,0.0,0.0,393.0,223.75,424.75,276.75,381.0,284.5,444.5,343.75,409.0,361.75,464.0,398.25,452.75,409.0,406.75,405.5,381.0,409.5,389.75,493.0,414.0,507.25,369.5,583.0,418.5,617.0
11,429.5,216.0,430.25,207.625,417.5,210.125,0.0,0.0,393.5,223.875,423.5,276.75,382.25,282.0,440.25,341.5,410.25,357.0,460.5,394.5,454.0,397.75,409.0,407.75,385.5,411.0,391.25,493.5,418.0,507.75,370.0,580.0,423.5,615.5
