,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,442.0,198.375,452.5,190.0,433.5,189.25,469.0,198.25,422.75,195.75,494.25,256.25,400.0,253.75,507.5,332.75,390.0,322.0,460.25,364.75,414.75,352.0,485.25,384.5,422.75,384.5,510.25,469.0,393.5,469.0,515.0,562.0,380.0,568.5
1,441.75,197.5,452.25,189.5,433.25,188.375,468.0,197.5,422.25,194.5,494.0,255.375,401.0,252.5,507.75,332.25,390.75,320.5,457.75,363.25,416.0,352.0,485.75,384.25,423.5,384.0,510.5,469.0,393.5,469.5,515.0,562.0,380.5,569.0
2,441.75,197.5,452.25,189.5,433.5,188.375,468.5,197.5,422.25,194.75,493.25,255.625,400.5,253.0,508.25,332.25,389.5,321.5,458.75,363.0,416.25,352.0,486.0,384.5,424.25,384.5,511.5,469.5,394.0,469.0,516.0,562.0,380.75,567.0
3,441.75,198.0,452.25,189.875,433.25,188.75,468.75,198.25,422.5,195.25,493.75,255.25,401.0,252.625,507.5,332.0,390.0,321.25,456.75,363.0,415.0,352.5,485.75,383.5,423.5,383.25,510.5,468.0,393.5,467.25,515.0,562.0,381.5,567.0
4,442.5,199.25,453.0,191.25,434.25,190.0,470.0,199.75,423.5,196.375,494.25,256.5,400.25,253.625,507.5,333.0,389.75,324.0,457.75,366.5,414.0,353.75,486.0,383.0,423.5,383.0,510.5,468.5,393.0,468.0,515.5,562.0,381.0,567.0
5,444.5,201.375,455.25,193.5,436.0,192.125,471.5,201.75,424.75,199.375,494.75,259.25,403.0,255.75,508.5,336.0,390.25,325.0,458.0,367.5,413.5,354.75,486.0,384.5,424.5,383.75,510.5,469.75,393.25,468.25,516.5,561.0,380.5,568.0
6,451.0,205.0,461.5,196.875,442.5,195.625,476.0,204.25,429.75,201.5,499.0,262.25,406.0,259.25,510.5,337.5,396.25,332.5,467.25,375.0,424.5,368.75,487.25,387.0,426.0,386.5,512.0,469.5,395.25,471.0,516.0,561.5,381.25,568.0
7,455.5,206.625,466.25,198.5,447.25,196.875,481.0,206.5,434.25,202.625,503.0,264.5,410.0,261.5,512.0,340.0,407.0,334.5,468.5,378.75,436.25,377.0,490.0,390.5,428.5,390.0,513.5,472.75,396.5,474.25,515.5,561.0,381.5,567.0
8,462.25,206.75,472.75,198.875,453.75,197.125,486.5,207.5,439.0,203.125,506.75,265.0,412.75,259.5,515.0,340.5,399.0,331.75,472.5,382.0,428.75,373.0,490.0,390.0,428.0,388.5,515.0,471.0,398.5,473.5,515.0,560.0,381.5,565.5
9,469.0,206.5,479.25,198.625,460.25,197.0,493.0,206.75,445.75,202.625,512.0,265.0,418.0,258.5,519.0,339.0,408.5,327.75,482.5,382.75,434.5,372.0,493.5,390.75,431.75,389.0,518.5,474.0,400.25,475.25,515.0,560.5,382.25,567.5
10,477.0,205.75,487.5,198.125,468.75,196.25,500.0,206.75,453.25,202.0,517.0,264.5,423.75,258.0,523.5,339.25,415.0,336.0,492.0,387.75,451.75,387.75,497.25,389.0,435.0,386.75,521.0,473.5,403.75,472.5,515.0,561.0,383.0,565.5
11,486.5,205.625,496.5,197.875,478.0,195.875,507.5,206.125,461.5,201.25,523.5,264.5,429.5,257.5,528.0,339.0,423.5,337.75,499.25,389.25,464.0,389.5,500.5,387.75,437.25,385.5,522.5,473.5,404.75,475.5,517.0,561.5,383.5,565.0
12,496.75,205.75,506.75,198.125,488.25,195.5,517.0,208.0,471.25,200.75,529.5,264.25,436.5,257.5,534.0,334.5,431.75,338.0,513.0,378.75,473.0,388.75,503.5,388.5,442.25,385.25,521.0,467.5,407.0,473.0,516.5,560.0,384.75,564.0
13,506.5,205.375,516.5,197.875,497.75,195.0,525.5,208.0,480.25,200.5,535.5,264.0,444.25,256.25,536.5,336.25,441.0,337.25,519.0,393.25,485.25,392.5,505.25,391.75,444.75,387.5,525.0,476.5,409.0,474.5,516.5,562.0,385.25,561.5
14,528.0,206.375,537.5,199.25,519.5,195.625,0.0,0.0,499.0,201.25,545.5,264.5,461.5,257.5,544.5,330.75,462.5,340.5,539.0,390.5,510.0,390.0,507.75,392.5,449.25,387.75,526.0,473.75,414.0,477.25,517.0,561.0,384.0,560.0
15,538.5,207.5,548.0,199.875,529.5,196.375,0.0,0.0,508.25,201.375,551.5,264.0,471.25,257.0,548.0,327.25,474.0,338.5,547.0,386.75,523.0,388.0,507.75,390.5,451.5,385.0,526.0,473.25,419.75,475.5,517.0,561.0,385.0,557.5
16,549.0,209.625,558.0,202.375,540.5,198.0,0.0,0.0,518.0,201.625,554.5,262.75,479.0,258.25,549.0,324.5,489.0,340.25,552.0,381.5,538.0,389.5,510.25,388.25,455.0,383.0,526.0,473.75,427.0,474.0,517.0,561.5,385.5,557.0
