,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,534.0,260.5,541.0,250.25,524.0,251.25,0.0,0.0,500.5,249.5,563.5,308.0,470.5,307.75,576.0,385.5,454.0,387.25,584.5,453.0,448.5,459.75,547.5,455.0,486.5,455.25,553.5,553.5,476.0,553.0,556.0,648.5,459.5,646.0
1,532.0,263.5,539.5,253.5,522.0,254.125,0.0,0.0,500.5,250.875,564.0,308.25,470.75,308.0,575.0,385.5,454.25,387.0,583.5,454.5,448.5,459.0,547.5,454.5,486.75,455.0,554.0,552.5,476.25,553.0,556.5,648.5,459.75,646.0
2,530.0,266.0,538.0,256.0,520.5,256.5,0.0,0.0,499.75,250.625,564.0,308.75,470.5,308.0,574.5,385.5,454.0,387.25,582.0,453.75,448.5,459.75,547.0,455.0,486.5,455.25,553.5,552.0,476.0,552.0,556.0,647.5,459.75,645.5
3,530.5,268.0,538.5,258.0,520.5,258.25,0.0,0.0,500.0,251.75,564.0,308.5,470.75,308.25,574.0,386.0,454.5,388.5,579.5,454.5,451.0,460.75,547.0,454.5,486.0,454.5,554.0,552.0,475.5,551.5,556.0,647.0,460.0,646.0
4,531.0,268.5,539.5,257.0,520.5,258.0,0.0,0.0,501.0,252.0,564.5,308.0,471.5,307.25,574.0,384.75,456.0,387.5,580.0,453.75,453.5,461.0,547.0,455.25,486.75,454.5,553.0,553.0,473.75,551.0,556.0,646.0,460.0,644.5
5,530.5,268.5,539.0,257.5,520.0,258.5,0.0,0.0,501.0,252.75,565.0,308.0,471.5,307.5,574.5,383.75,456.25,386.5,581.0,451.75,454.75,459.5,546.5,455.75,485.75,455.0,554.5,553.0,473.0,551.5,555.5,646.0,459.75,644.5
6,530.5,269.0,538.5,258.5,520.0,260.0,550.0,253.125,501.75,256.5,565.5,309.5,472.0,310.0,576.5,386.0,457.0,391.75,583.0,454.0,457.75,465.5,547.0,456.5,486.0,457.0,556.0,553.0,470.25,552.5,556.5,648.0,459.75,646.5
7,530.5,274.75,539.5,264.0,520.0,265.0,550.5,260.0,501.75,261.25,565.5,313.5,472.75,315.5,582.5,386.5,459.75,398.25,594.0,452.75,461.5,471.5,546.5,462.25,485.25,462.0,556.5,562.0,467.0,560.0,554.5,647.0,459.5,646.5
8,532.0,279.0,540.5,267.25,521.0,268.5,551.0,260.75,501.0,261.5,564.5,315.75,473.75,320.25,586.0,386.25,461.5,405.0,600.5,450.75,463.25,478.0,546.0,465.25,486.0,465.75,557.5,563.5,465.5,562.0,555.5,648.0,459.5,646.0
9,532.5,284.0,541.0,273.5,522.0,275.0,552.5,265.5,503.5,269.5,566.0,320.5,475.75,326.0,588.5,386.25,464.25,412.5,607.5,445.0,467.25,487.0,548.0,470.25,488.0,471.25,561.5,569.0,464.5,568.0,556.0,651.5,459.25,649.0
