,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,456.5,193.625,471.5,181.75,445.0,178.625,490.5,182.25,426.75,175.0,513.0,261.25,388.0,246.75,530.5,360.75,353.5,323.75,467.75,414.75,361.25,383.0,482.25,440.0,398.5,435.0,507.0,557.5,365.0,554.5,497.5,648.5,371.5,675.0
1,459.5,196.5,474.5,184.375,448.25,181.125,493.75,184.375,429.5,177.0,516.0,263.25,391.5,248.625,536.5,360.25,358.5,327.5,476.25,418.25,372.0,382.75,483.25,440.75,401.0,434.75,507.25,556.0,364.0,550.0,497.25,647.0,374.5,673.0
2,462.0,194.5,476.75,182.625,451.0,179.75,496.5,183.75,432.5,176.5,518.0,263.0,394.5,247.875,541.5,358.25,363.25,327.5,483.5,416.0,382.75,384.5,483.25,442.5,400.75,436.0,507.5,557.0,363.5,547.5,496.75,648.0,378.0,670.0
3,463.25,190.75,477.75,179.125,452.25,176.0,496.75,180.375,434.0,173.25,518.5,259.5,395.5,244.125,544.0,352.25,368.75,327.25,488.5,411.0,393.25,385.5,482.25,437.0,400.75,430.75,504.25,548.5,363.5,542.0,496.75,647.0,379.75,661.5
4,463.0,184.25,477.75,172.5,452.0,169.5,497.0,173.625,433.75,166.75,519.5,253.375,394.25,239.375,545.5,345.5,369.5,326.5,491.5,406.0,395.75,390.5,484.0,433.5,401.75,427.5,502.0,550.0,362.5,542.0,496.5,647.0,381.5,650.5
5,462.0,169.25,475.75,157.5,450.0,155.5,494.0,160.25,430.0,155.125,516.5,240.625,390.5,229.5,541.0,331.5,367.0,316.25,490.75,390.75,369.5,379.5,480.0,421.25,398.0,415.75,497.0,538.5,361.75,531.0,495.75,643.5,380.75,623.0
6,459.5,163.125,473.0,151.375,448.0,149.375,490.0,154.75,428.0,150.125,514.0,235.5,388.5,225.0,537.0,325.5,365.0,313.0,489.0,385.75,377.5,380.25,478.75,415.5,397.25,410.5,495.25,532.5,362.5,524.0,495.0,642.0,378.5,613.0
7,455.5,159.0,469.0,147.625,443.75,145.25,486.25,151.625,423.5,146.375,510.0,232.5,384.75,223.25,532.0,322.75,361.25,311.25,484.0,383.75,373.25,377.0,476.0,415.5,394.0,411.5,493.5,530.0,362.75,525.5,495.25,643.0,376.0,607.0
8,452.75,157.25,465.75,146.125,440.75,144.5,482.25,150.625,420.25,147.375,506.5,232.0,381.25,224.25,527.0,322.0,357.0,311.75,484.0,383.5,370.0,375.75,474.0,415.0,392.25,411.75,492.25,530.5,364.25,524.0,494.75,640.0,372.0,601.5
9,448.5,159.0,461.0,147.75,436.5,146.125,476.5,152.25,415.75,148.625,501.5,232.5,377.75,225.375,521.0,323.5,353.5,312.25,481.0,387.25,366.5,373.75,473.0,416.0,391.5,412.75,493.0,533.5,366.75,522.0,495.5,642.0,369.0,598.5
10,440.0,169.375,452.25,158.0,427.5,156.375,466.0,162.75,405.5,158.625,488.75,239.875,368.25,236.875,509.0,327.5,338.75,323.5,478.0,393.5,376.75,373.25,468.5,419.25,388.75,419.5,493.0,533.0,372.75,529.0,494.75,639.0,366.25,605.0
11,437.5,176.25,449.5,164.875,425.0,162.875,462.5,169.25,402.0,164.125,483.5,243.375,364.0,241.625,504.25,328.0,337.75,328.5,477.5,396.75,374.0,380.75,467.5,421.5,389.0,423.25,496.0,531.0,374.0,529.0,494.75,639.0,372.25,601.0
12,439.75,180.5,452.0,169.0,427.5,166.125,0.0,0.0,400.75,163.5,477.5,242.125,362.0,241.75,499.0,324.75,334.25,328.5,479.25,394.25,377.5,367.75,466.5,420.25,389.75,423.5,498.5,525.5,376.0,526.5,487.0,627.0,372.0,602.0
13,444.5,177.75,455.75,166.5,432.75,163.625,0.0,0.0,403.25,159.625,477.0,236.75,363.75,237.125,497.5,318.5,340.0,330.25,485.0,386.0,402.75,369.0,467.0,412.5,391.75,416.25,498.5,516.5,379.0,519.5,480.5,619.0,371.75,602.0
14,449.5,173.0,461.0,162.125,438.75,157.75,0.0,0.0,408.0,149.5,476.0,229.625,365.25,231.0,496.5,309.5,349.5,326.0,492.5,375.0,427.75,363.5,468.75,405.0,392.75,409.25,498.0,509.75,380.75,517.0,474.0,603.0,373.75,598.5
15,455.0,170.875,466.25,161.0,445.25,155.375,0.0,0.0,414.0,146.25,476.0,225.625,369.75,224.875,497.0,306.75,361.0,323.5,496.5,366.5,451.75,358.25,466.5,403.5,391.75,408.0,497.25,509.5,378.0,525.0,467.0,597.0,373.5,598.0
16,462.75,171.25,473.5,161.875,454.0,156.25,0.0,0.0,422.75,146.875,476.0,223.75,374.75,223.0,494.5,297.75,374.0,321.75,515.5,347.0,465.75,352.0,462.75,400.0,392.0,405.0,495.0,504.5,375.0,527.5,461.0,593.0,373.25,598.0
17,469.25,176.0,480.0,167.625,462.0,160.25,0.0,0.0,429.5,148.125,477.25,225.25,380.0,223.875,500.5,299.5,386.0,320.5,522.0,346.0,482.5,350.0,462.75,399.5,394.0,405.0,491.0,505.5,373.75,533.0,459.25,594.0,372.5,597.0
18,475.75,186.0,487.0,177.25,469.0,170.375,0.0,0.0,436.5,157.5,480.25,229.5,385.5,230.375,505.5,299.0,401.75,323.5,542.0,348.75,496.0,348.0,463.5,405.75,395.75,412.75,490.0,507.25,372.5,542.5,456.75,597.5,369.75,597.0
19,492.0,205.875,502.75,197.625,487.25,190.5,0.0,0.0,452.25,171.0,481.5,242.875,394.0,242.75,515.0,302.0,424.0,331.5,569.0,339.75,519.5,355.0,461.75,421.5,395.5,429.5,487.5,515.0,372.0,558.5,453.75,605.0,365.0,614.5
20,499.25,214.75,509.25,206.625,496.0,198.625,0.0,0.0,462.25,180.25,481.0,247.0,396.5,247.25,519.0,302.25,432.5,334.5,583.0,329.5,528.0,360.0,459.5,424.0,394.5,433.0,487.75,514.0,372.5,564.0,452.75,606.5,364.0,622.5
21,506.5,220.625,0.0,0.0,504.5,205.375,0.0,0.0,470.5,184.625,481.5,250.0,399.25,249.5,522.5,301.25,435.0,337.0,590.0,320.75,529.0,361.5,457.25,426.0,394.0,435.0,487.75,515.0,373.25,565.0,452.75,607.5,361.5,637.5
