,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,452.75,196.125,462.5,185.375,443.0,185.625,477.75,184.625,430.0,184.375,503.5,248.25,408.25,249.25,524.5,318.5,397.0,321.25,496.0,363.5,415.5,360.0,491.0,396.25,428.0,396.25,499.25,497.5,415.25,496.5,503.75,592.5,405.25,590.0
1,453.0,196.25,462.75,185.625,443.0,185.625,478.0,185.75,430.0,184.5,503.0,248.125,408.0,249.25,524.5,318.0,395.75,321.5,496.0,363.0,415.0,360.75,490.75,395.25,427.75,395.25,499.0,496.0,415.5,495.5,504.0,591.5,405.5,590.0
2,453.5,196.125,463.0,185.375,443.75,185.75,478.0,185.25,430.75,185.375,503.25,247.75,408.75,248.5,524.0,318.0,394.75,318.0,496.25,363.0,410.75,354.25,490.5,396.0,427.75,395.75,499.75,496.5,416.25,495.75,504.0,592.0,405.5,590.5
3,455.5,196.25,465.0,185.375,445.25,185.875,480.5,184.875,432.25,185.875,504.75,247.875,410.25,248.75,525.5,317.5,395.75,320.25,498.25,362.25,427.5,359.25,492.75,396.25,429.75,396.5,502.0,496.5,418.25,496.25,503.5,592.0,406.0,590.5
4,457.75,195.875,467.25,185.0,447.5,185.625,482.0,184.625,434.25,185.625,506.25,248.25,411.75,249.25,526.5,316.75,397.0,321.25,502.25,360.75,424.25,360.25,494.25,397.25,431.25,397.5,504.5,497.5,419.5,497.0,502.5,592.5,406.75,590.0
5,460.0,195.875,469.5,185.0,449.75,185.75,484.0,185.125,436.5,186.625,508.0,248.0,413.75,249.0,527.5,316.5,397.75,319.5,504.75,360.75,422.5,360.0,496.0,396.75,433.0,396.75,505.25,498.0,421.0,496.75,501.5,593.0,406.75,590.5
6,467.25,194.625,476.25,183.75,456.75,184.5,490.0,183.625,442.75,184.75,513.0,247.5,419.0,248.5,532.0,316.0,406.75,320.75,511.75,359.5,429.25,346.75,500.25,397.5,437.5,397.25,507.5,500.5,423.75,498.75,501.75,594.0,408.0,589.5
7,471.25,194.375,480.25,183.375,460.5,184.25,493.0,183.875,445.75,185.125,515.5,247.0,422.0,248.75,535.0,315.5,410.0,324.5,515.0,360.75,434.75,338.25,502.5,397.25,440.0,397.25,509.0,501.5,425.25,499.5,502.0,594.5,409.0,589.0
8,475.5,193.5,484.5,182.875,465.25,183.375,497.5,183.375,450.25,183.75,518.5,246.75,425.0,248.0,538.5,310.5,410.5,325.0,526.0,354.25,457.75,343.25,505.5,397.25,443.25,397.25,510.0,501.0,428.25,499.25,502.25,595.0,409.0,589.0
9,478.75,194.0,488.5,184.0,468.75,184.0,502.25,184.375,454.0,185.25,523.0,247.0,430.0,249.25,544.5,309.5,413.25,325.5,536.0,350.0,459.0,342.5,508.0,397.25,446.5,397.75,511.75,500.0,432.0,500.0,501.5,595.0,409.25,593.0
10,483.25,193.875,492.75,183.875,473.5,183.625,506.0,182.875,457.75,182.75,526.5,246.0,434.0,248.75,547.0,307.75,416.5,325.0,544.0,349.0,467.5,341.5,511.5,398.25,449.75,398.25,513.0,502.0,434.0,501.5,501.5,596.0,409.5,593.0
11,492.0,192.75,501.5,182.75,482.5,182.375,514.0,182.75,467.0,181.5,530.0,244.75,441.25,246.25,552.5,302.5,420.0,319.25,561.5,336.25,477.75,335.5,516.5,397.0,455.75,396.75,515.5,501.5,438.5,501.75,500.25,596.5,413.75,592.5
12,495.5,193.625,505.5,183.875,486.0,182.875,519.0,182.875,470.5,181.0,533.0,242.75,444.75,245.25,561.0,295.25,421.0,315.5,571.5,324.0,477.75,330.25,519.5,396.5,459.0,397.0,516.5,502.0,440.0,504.0,502.0,597.0,414.0,594.0
13,500.0,192.75,509.5,183.0,490.0,182.375,522.5,182.125,474.0,181.0,536.0,241.75,448.5,243.625,567.0,292.25,422.0,309.25,577.0,319.5,478.75,324.5,520.0,395.0,460.75,395.25,517.5,501.5,444.5,502.5,502.5,596.0,417.5,590.5
14,503.75,192.25,514.0,182.625,494.5,181.5,527.0,183.125,478.5,180.25,537.0,241.75,453.0,240.625,559.0,290.0,422.5,302.5,586.5,314.25,476.0,316.25,521.5,393.0,464.25,392.5,518.5,499.5,449.75,500.25,502.75,595.5,420.5,586.0
15,513.0,192.0,522.5,182.0,503.5,180.625,532.5,183.125,486.0,177.25,536.5,238.5,457.0,234.25,563.0,283.0,425.75,282.0,604.0,300.0,471.0,302.0,523.5,394.0,468.0,393.75,517.5,501.5,455.0,504.75,501.5,593.0,424.5,591.5
16,516.5,192.5,526.5,182.5,506.5,181.0,536.5,183.625,490.0,177.875,537.5,238.0,459.5,231.75,561.0,282.75,426.25,273.25,607.0,296.75,467.25,294.0,524.0,392.25,469.75,392.0,518.5,501.5,459.0,506.5,501.0,593.0,427.0,595.0
17,520.5,192.25,530.5,182.5,511.0,180.5,541.0,184.625,494.75,176.25,538.5,238.0,464.0,228.75,561.5,279.75,428.5,263.75,609.0,290.5,460.5,284.75,527.0,393.75,474.25,393.0,520.0,502.0,464.0,508.0,501.75,592.0,429.75,602.0
18,525.0,192.75,534.5,182.625,515.0,181.0,0.0,0.0,497.5,177.25,538.5,237.25,468.0,227.875,561.0,276.25,430.25,255.75,609.5,280.75,457.25,279.0,528.5,393.75,477.25,393.25,521.0,503.75,466.75,511.0,501.0,591.5,432.25,610.5
19,528.0,193.625,538.0,183.75,518.0,181.5,0.0,0.0,501.0,177.375,538.5,239.625,471.75,227.75,561.5,272.25,433.0,250.125,614.0,269.0,450.75,271.0,528.0,395.0,478.5,394.0,521.5,504.75,468.0,514.0,500.5,594.0,435.0,620.5
20,533.0,196.75,543.5,187.75,524.5,184.5,0.0,0.0,505.25,179.625,539.0,244.5,475.75,231.5,556.0,272.25,433.75,242.25,610.5,263.0,444.5,267.0,529.0,397.75,479.25,397.5,528.0,506.5,469.75,521.0,503.75,596.5,441.5,641.0
21,536.5,199.125,546.5,190.0,528.0,186.625,0.0,0.0,508.0,182.25,536.0,247.75,476.75,232.625,550.0,272.5,441.5,238.75,605.0,260.0,435.0,254.0,529.5,402.0,479.5,402.0,530.5,510.0,470.25,526.5,503.75,598.0,442.5,649.0
22,538.5,201.75,549.5,193.125,530.0,189.125,0.0,0.0,509.75,184.375,538.5,249.5,480.0,232.625,544.5,277.0,440.0,233.75,601.0,259.25,436.0,253.75,528.0,405.0,478.25,404.5,532.5,514.0,469.5,532.0,503.0,600.0,442.0,659.0
23,543.5,210.25,554.5,201.625,535.0,197.75,0.0,0.0,515.5,195.25,535.5,251.875,485.25,238.0,540.5,261.5,438.25,227.25,592.5,254.75,429.25,243.5,527.5,413.5,476.5,413.5,538.5,523.0,465.0,544.5,501.5,599.0,441.75,677.5
24,545.5,215.5,557.0,206.5,537.0,202.75,0.0,0.0,517.5,196.5,536.0,255.875,486.0,240.625,538.5,264.0,440.75,228.75,586.5,253.75,427.75,241.5,526.0,417.5,475.0,417.25,541.0,524.0,463.0,548.0,499.0,599.5,439.5,683.5
25,547.5,220.625,558.5,211.875,539.0,208.0,0.0,0.0,518.0,202.5,534.5,260.5,486.0,244.0,538.0,266.25,437.5,229.25,583.5,252.5,425.25,242.5,524.0,422.0,473.25,421.75,542.5,528.0,461.25,553.0,498.5,601.5,436.75,689.5
26,548.0,226.375,560.0,217.625,540.0,212.5,0.0,0.0,519.0,205.5,533.5,264.5,485.75,247.75,537.0,269.25,436.5,232.25,578.0,257.5,421.5,248.5,521.5,426.0,470.5,426.25,543.5,529.0,459.5,559.0,497.25,602.0,434.0,697.0
27,549.0,230.75,560.5,222.125,541.0,216.375,0.0,0.0,520.0,209.625,528.0,271.0,484.5,252.125,525.0,284.25,435.25,235.75,570.0,263.25,417.75,251.25,519.5,432.0,468.5,432.0,542.5,534.5,459.0,564.5,496.25,604.0,430.0,698.0
28,548.0,240.875,560.0,232.375,540.0,227.125,0.0,0.0,520.0,219.875,529.5,280.25,480.5,259.0,516.0,316.5,429.5,249.5,561.0,296.25,404.25,265.75,511.5,441.5,459.5,442.0,541.0,543.5,456.0,577.0,493.0,608.0,428.0,709.0
29,547.5,246.0,559.5,237.75,539.0,232.25,0.0,0.0,518.0,225.25,531.0,291.0,477.25,265.5,515.5,338.5,422.75,256.25,560.5,313.0,396.0,273.0,507.75,447.75,454.75,448.0,539.0,548.0,457.25,582.0,493.0,609.5,427.75,710.0
30,547.0,253.375,558.5,245.125,539.0,239.0,0.0,0.0,517.5,234.25,530.0,309.0,475.75,268.5,521.0,356.25,412.0,258.0,568.0,331.75,385.75,284.0,505.25,457.5,451.75,452.75,534.5,556.0,455.5,590.5,493.0,612.5,424.75,714.0
31,546.0,257.0,557.5,249.0,538.0,242.75,0.0,0.0,518.5,236.75,531.5,318.5,472.0,270.75,523.5,376.0,405.75,260.0,573.0,355.25,375.0,290.5,502.0,462.25,447.0,456.75,530.0,561.0,454.5,597.0,492.75,615.0,424.5,718.0
32,541.5,265.25,554.0,255.5,532.5,250.875,0.0,0.0,511.25,243.875,533.5,326.5,462.0,281.5,532.0,399.5,386.75,268.25,584.0,396.5,359.75,298.0,494.75,473.25,436.75,470.5,526.5,564.5,452.5,606.0,493.25,611.0,427.0,723.0
33,539.0,269.0,552.0,259.75,530.5,254.125,0.0,0.0,508.5,246.125,534.5,333.5,457.0,286.0,533.5,412.0,377.5,270.5,589.0,416.0,351.75,307.25,493.5,478.25,433.75,474.75,524.0,569.0,450.75,610.0,491.75,611.5,427.5,725.0
34,536.0,272.5,549.0,262.5,527.5,257.5,0.0,0.0,506.5,250.25,537.0,338.25,453.25,289.5,535.5,421.0,369.75,272.5,592.0,442.5,346.5,310.25,492.5,480.75,431.25,478.0,521.0,568.0,448.75,614.0,492.0,610.5,427.5,726.0
35,534.0,275.5,547.0,266.0,525.5,260.75,0.0,0.0,505.0,252.75,538.5,343.0,450.5,292.75,539.5,429.0,361.25,279.75,594.0,465.75,341.25,317.75,492.0,485.0,429.5,481.75,518.5,574.5,447.0,618.0,491.5,611.0,427.5,725.0
36,532.5,278.25,545.5,268.5,523.5,263.5,0.0,0.0,503.25,254.375,538.0,345.75,446.5,295.5,542.0,436.0,356.0,285.5,592.0,483.5,336.75,320.75,490.0,486.5,427.0,483.75,517.5,572.5,445.0,620.5,492.0,609.5,427.75,726.5
37,529.0,283.0,542.0,273.0,519.5,267.75,0.0,0.0,498.25,258.5,537.5,352.25,440.5,300.5,544.0,447.75,350.75,292.5,587.5,514.5,330.25,328.25,488.0,488.5,424.25,486.25,516.5,573.0,445.0,623.5,490.0,611.0,427.0,727.0
38,527.0,284.75,541.0,274.5,518.0,269.0,0.0,0.0,496.75,258.5,538.0,354.75,437.75,302.25,543.5,452.75,346.5,296.25,583.0,524.0,329.5,335.75,488.0,492.0,423.0,489.5,515.5,576.0,445.25,627.0,490.0,610.0,426.25,728.0
39,523.0,288.5,537.5,278.0,514.0,272.5,0.0,0.0,493.0,261.25,538.5,358.25,434.75,304.0,543.0,457.75,345.75,299.0,575.0,539.0,327.5,346.75,486.5,491.0,420.5,488.25,517.0,575.0,446.75,626.5,488.5,612.5,427.0,728.0
40,522.0,289.75,536.0,278.5,512.0,273.75,0.0,0.0,492.0,264.5,538.0,359.0,435.0,304.5,542.0,460.0,345.0,302.75,570.0,543.0,327.75,349.75,486.0,489.75,420.0,487.0,517.0,572.5,447.0,626.0,490.0,611.0,426.5,728.5
41,520.0,290.5,534.5,279.75,510.75,274.5,0.0,0.0,490.75,264.0,537.5,359.0,434.0,304.5,540.0,459.0,347.0,307.5,563.5,542.0,328.5,351.0,486.75,489.75,420.75,487.5,517.0,567.5,445.5,626.5,490.5,610.0,426.75,729.0
42,517.5,290.75,532.0,279.5,507.75,274.75,547.0,277.5,488.75,263.75,537.5,358.0,434.0,303.5,537.0,457.5,353.5,308.75,556.0,543.0,329.5,353.5,487.75,485.75,421.0,483.5,516.0,559.5,443.0,622.0,492.25,608.0,428.0,727.5
43,516.0,290.0,530.5,278.75,506.5,274.0,0.0,0.0,487.25,262.0,536.5,356.5,432.75,302.0,536.0,455.0,355.5,308.0,553.5,541.0,330.0,357.5,487.5,483.0,420.75,481.0,516.0,552.0,442.5,619.0,492.0,608.0,428.0,727.5
44,514.5,289.0,529.0,277.5,504.75,273.0,545.0,275.0,485.25,262.0,535.0,355.5,432.25,302.0,535.5,454.25,356.5,307.5,550.5,540.0,331.25,354.25,487.75,482.0,421.75,480.5,518.0,548.0,443.5,617.5,491.25,607.0,428.0,726.0
45,512.5,287.0,527.0,276.0,502.75,271.5,0.0,0.0,484.0,262.0,535.0,353.5,431.5,301.0,535.0,451.75,359.0,306.75,546.5,538.0,330.5,353.75,487.0,480.0,421.0,478.5,517.0,546.5,444.25,617.0,491.5,607.0,427.5,724.5
46,510.25,286.5,525.0,275.5,500.5,270.5,541.0,273.25,481.5,260.0,533.5,352.0,430.0,301.0,533.5,450.5,360.5,307.5,544.0,536.0,331.25,351.0,487.0,478.5,422.0,477.5,518.0,542.0,445.25,615.5,491.0,606.0,427.25,724.5
47,508.5,284.75,523.5,274.0,498.5,269.0,539.0,272.5,479.75,259.75,533.5,350.5,429.0,300.5,533.5,449.0,361.5,308.75,541.0,534.5,331.25,350.75,488.5,477.0,423.0,475.25,520.0,543.0,446.25,611.5,491.25,606.0,428.0,725.0
48,507.0,283.5,522.0,273.0,497.0,268.0,538.0,270.25,478.0,257.0,533.0,349.5,428.25,300.0,533.0,448.5,361.75,308.5,541.0,535.0,330.75,350.75,490.0,477.75,424.5,476.25,519.0,544.0,446.5,612.5,492.0,605.5,428.25,723.5
49,505.25,281.5,520.0,270.5,494.5,266.5,536.0,268.0,475.75,257.0,533.0,348.0,427.5,300.25,533.0,446.75,361.0,310.75,540.0,532.5,330.0,354.25,491.5,477.0,426.25,475.75,521.0,541.5,447.0,612.0,491.75,603.5,427.5,724.0
50,504.5,281.0,519.0,270.0,494.0,266.0,534.5,266.5,475.0,256.0,533.0,346.0,426.75,300.0,533.5,445.0,360.5,312.0,541.0,530.5,330.0,355.25,492.25,477.25,427.0,476.75,522.0,539.5,447.25,612.0,492.5,602.5,428.75,723.0
51,504.5,280.0,519.0,269.0,494.0,265.5,534.5,265.5,475.0,255.25,533.5,345.25,427.25,300.5,534.0,444.0,359.5,313.0,542.0,529.0,329.75,358.0,492.5,477.0,427.5,476.5,522.5,542.0,448.0,611.5,493.0,603.0,428.5,723.0
52,505.5,278.75,519.5,267.75,495.0,264.0,535.0,264.0,475.5,254.0,534.5,344.25,427.0,301.0,534.0,441.25,358.0,315.0,542.0,525.5,330.75,362.0,493.75,475.25,428.0,475.0,519.5,548.0,449.0,611.0,492.75,604.0,429.5,721.0
53,506.0,277.5,520.0,266.5,495.25,262.75,536.0,263.0,475.25,253.125,534.0,342.5,427.0,301.25,532.5,439.5,355.5,316.75,542.0,522.5,329.75,369.25,493.0,475.75,427.5,475.75,523.0,545.5,449.75,610.5,493.0,604.0,430.0,722.0
