,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,613.5,128.25,621.5,117.5,600.0,117.0,0.0,0.0,570.5,122.25,636.0,197.5,531.5,176.625,640.5,281.0,498.75,251.625,586.0,305.5,537.5,279.25,586.5,337.75,519.5,326.5,580.0,453.0,493.25,434.5,574.5,547.5,486.5,516.5
1,586.5,121.125,595.5,111.625,573.5,110.0,0.0,0.0,547.5,119.75,618.0,193.0,516.5,177.25,625.0,279.0,485.5,251.875,575.5,301.25,520.5,279.25,576.5,339.0,509.75,330.25,576.5,452.75,490.5,435.25,574.0,547.5,487.25,517.5
2,568.5,115.125,577.5,106.125,555.5,105.75,0.0,0.0,532.5,119.25,606.0,188.625,503.5,177.25,610.5,274.75,476.75,253.25,570.5,304.0,507.75,276.5,570.5,337.0,503.5,330.5,574.0,450.25,488.5,437.0,574.0,547.0,487.5,518.0
3,559.0,112.25,569.0,103.5,546.0,102.875,580.0,118.5,524.5,118.0,601.0,187.0,498.0,177.75,603.5,274.75,472.75,253.5,565.0,308.5,502.5,275.0,567.5,336.75,500.0,330.75,573.0,451.5,487.0,436.5,574.0,548.0,487.5,518.5
4,549.5,109.5,559.5,100.5,537.0,100.25,572.0,114.5,517.0,115.375,595.0,186.75,492.25,177.75,596.0,274.0,471.5,253.5,559.0,315.0,497.25,274.5,563.5,338.25,497.25,333.0,570.0,450.0,485.25,437.0,575.0,547.0,487.75,518.0
5,535.0,104.25,546.0,95.625,523.0,95.75,560.5,110.625,505.5,111.125,584.5,186.25,483.25,179.375,582.0,275.25,466.0,255.25,546.5,328.5,484.5,275.5,558.5,337.0,493.75,332.5,568.0,452.0,482.5,437.75,574.0,549.5,488.0,517.5
6,529.5,101.375,540.5,92.875,518.0,93.375,555.0,108.75,502.75,111.75,578.5,184.75,482.25,176.0,575.5,277.0,470.0,255.625,541.0,330.5,480.25,281.0,554.5,330.75,491.5,327.0,566.0,447.25,480.25,436.5,574.0,546.5,488.0,515.0
7,524.0,99.375,535.0,91.0,513.0,91.25,549.5,107.375,497.25,109.5,573.0,182.75,480.25,172.875,569.5,276.0,468.5,246.0,536.5,329.5,474.5,280.5,552.5,328.5,490.75,324.25,566.0,446.5,479.25,433.75,573.5,546.5,488.5,515.0
8,519.5,97.5,530.5,89.5,508.25,90.125,546.5,106.375,493.75,107.75,571.5,183.625,477.0,175.125,565.0,276.0,468.25,246.0,530.0,326.25,469.75,283.5,552.0,334.5,489.75,330.25,565.5,449.75,479.5,436.0,574.5,547.5,487.0,517.0
9,513.0,93.25,524.5,85.625,502.0,85.625,540.0,103.25,488.25,103.75,564.5,179.75,474.5,176.0,557.0,272.75,469.0,252.875,515.5,296.75,452.25,286.5,550.0,336.5,489.25,333.5,565.0,451.5,479.5,438.0,576.0,549.0,487.25,517.0
10,510.75,91.5,522.5,84.125,500.0,83.875,538.0,101.625,486.25,101.5,562.0,175.75,473.0,175.25,551.0,266.0,468.5,252.875,497.5,271.5,447.25,296.0,549.0,333.5,487.75,331.25,564.5,450.0,479.5,436.0,576.0,548.5,487.5,517.0
