,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,456.0,296.25,465.5,287.25,446.25,287.0,478.75,293.0,431.0,292.5,493.0,342.5,408.25,346.5,500.5,413.75,404.0,410.75,460.0,454.5,422.5,449.5,484.75,464.5,430.5,468.0,506.5,552.0,430.5,574.5,485.5,622.5,423.5,674.5
1,456.25,296.5,465.75,287.0,446.5,287.0,479.0,292.25,431.5,292.25,493.5,342.0,409.0,345.5,500.25,413.0,403.25,407.5,457.25,448.75,419.5,443.0,485.0,466.0,430.75,469.5,506.0,552.0,430.0,574.0,486.0,623.0,423.5,672.0
2,457.25,296.0,466.5,287.0,447.5,286.5,478.75,292.0,433.0,292.0,493.25,341.75,410.0,345.5,498.75,413.5,404.5,408.0,454.0,442.0,413.0,434.75,484.25,466.25,430.0,468.75,505.75,553.5,428.5,573.5,487.0,623.5,424.25,671.5
3,458.75,296.5,468.0,287.0,448.5,286.5,479.0,290.75,432.75,290.25,493.25,341.25,409.0,345.75,499.0,414.75,406.75,409.5,445.5,435.5,406.5,425.25,484.75,465.0,430.0,468.0,505.0,553.0,428.25,573.0,486.5,623.5,424.25,672.0
4,458.25,296.0,467.5,286.75,448.75,286.0,479.0,290.0,433.25,289.25,493.75,342.25,408.0,344.5,496.0,416.0,407.5,411.75,441.5,429.75,402.0,418.5,485.5,465.5,430.75,469.0,505.0,549.5,429.5,574.5,486.0,622.0,424.0,673.0
5,458.25,296.75,467.5,287.5,448.75,287.0,480.5,291.25,434.5,290.0,493.75,343.0,408.5,345.0,494.0,418.0,405.75,414.5,435.0,426.0,398.25,413.25,484.5,466.5,430.25,469.0,505.0,550.0,430.0,572.0,487.5,621.5,423.25,671.5
6,459.0,297.0,468.5,288.5,449.75,287.5,481.0,292.25,434.5,290.75,494.25,345.0,407.5,344.5,491.5,420.5,403.5,412.5,429.0,420.5,396.75,411.5,485.0,466.25,429.25,468.5,505.0,551.5,428.75,572.0,486.0,622.0,423.75,672.0
7,459.5,298.75,469.25,289.75,450.5,289.0,481.75,293.0,435.5,291.25,494.75,346.25,409.75,344.0,486.75,424.75,401.75,413.0,423.0,415.5,395.5,408.25,484.0,466.75,428.75,468.0,504.5,554.5,427.0,572.0,486.0,623.0,423.5,671.5
8,459.75,299.25,469.5,290.25,450.75,289.0,482.0,293.5,435.5,291.25,494.5,347.5,409.0,345.0,485.5,425.75,403.5,417.0,422.25,415.25,395.25,407.75,483.25,465.75,428.25,467.5,505.0,552.0,426.5,573.0,486.0,623.0,424.0,673.0
9,460.0,299.5,469.75,291.0,451.5,289.5,482.25,294.5,436.75,292.25,494.75,349.25,410.0,345.5,485.75,426.75,401.5,416.75,421.0,417.0,393.5,406.5,482.5,467.0,427.25,468.75,505.5,551.0,426.25,574.0,486.25,623.0,424.0,672.0
10,460.25,300.5,470.0,292.25,451.5,291.0,482.5,296.75,436.75,294.0,495.0,351.0,410.25,347.5,487.0,428.25,400.25,418.5,422.5,421.0,394.0,411.0,482.5,468.25,427.0,469.5,506.75,556.0,426.75,576.0,486.5,623.0,424.0,673.0
11,461.25,302.5,471.0,294.0,452.25,292.75,483.5,299.25,437.5,296.5,496.0,353.5,410.25,351.0,490.75,429.0,401.5,418.75,426.5,429.25,398.25,419.5,482.5,472.25,426.75,473.25,508.0,559.5,428.0,577.0,487.75,622.0,424.25,673.5
12,465.75,306.5,475.25,298.0,456.25,296.5,485.75,304.5,440.75,301.5,495.75,358.75,414.5,358.25,495.0,432.5,402.25,423.0,448.5,459.25,417.5,455.75,479.0,479.0,426.0,480.25,509.0,570.0,429.0,585.5,488.5,623.0,425.5,675.0
13,468.5,307.5,477.5,299.0,459.25,297.75,487.5,304.5,443.25,301.5,497.5,361.5,413.75,361.5,496.25,435.75,404.25,431.25,457.5,476.75,426.0,471.5,478.75,482.0,425.25,483.25,509.25,574.5,429.75,588.5,488.0,624.0,426.5,674.0
14,472.25,307.0,481.25,299.0,462.75,297.0,490.0,305.5,445.75,301.5,497.75,363.0,417.5,361.5,499.25,435.75,407.0,428.75,470.75,487.25,419.25,482.5,478.5,486.25,426.5,487.25,508.0,576.0,430.5,590.5,487.25,624.0,427.25,675.0
15,475.75,305.75,484.5,297.75,466.25,296.0,492.75,305.0,448.5,301.5,498.5,363.25,419.75,361.75,500.0,437.5,412.0,438.5,481.0,497.5,439.0,497.75,478.0,483.25,426.25,484.0,506.75,576.0,431.75,591.0,487.25,624.0,426.5,676.0
16,482.0,299.5,490.0,291.75,472.0,289.75,0.0,0.0,453.75,297.5,498.5,362.0,426.5,360.25,501.25,435.25,426.25,441.5,502.5,498.0,463.0,501.5,475.25,481.75,426.5,483.0,502.0,572.0,434.75,590.5,486.0,626.5,426.75,675.5
17,484.5,295.0,491.75,287.5,474.25,286.0,0.0,0.0,455.25,295.5,497.5,360.5,429.25,356.5,498.25,431.0,429.0,435.5,514.0,483.75,468.5,486.25,474.0,482.25,426.75,483.0,502.0,572.5,436.25,591.0,485.25,628.5,426.5,676.5
18,486.0,291.0,493.5,283.75,476.0,282.5,0.0,0.0,455.5,291.0,495.5,358.25,431.0,352.25,495.25,430.5,432.5,430.75,524.0,477.0,473.75,470.25,475.25,481.75,428.75,482.5,502.25,570.0,439.75,590.0,485.5,629.0,425.0,678.5
19,486.5,286.75,494.0,280.0,477.0,278.5,0.0,0.0,457.5,287.25,495.5,355.75,433.5,348.5,491.5,429.25,436.0,424.25,532.0,465.0,480.0,447.5,477.75,481.0,431.5,481.5,504.0,570.0,440.5,591.0,484.75,628.0,425.25,678.0
20,487.25,283.0,494.5,276.0,477.75,274.5,0.0,0.0,458.25,283.25,492.5,350.25,434.75,343.25,497.25,417.75,440.5,417.0,543.5,443.5,484.0,407.5,481.0,478.5,435.75,480.0,503.5,566.0,440.75,589.5,485.0,627.0,425.25,677.5
21,487.25,279.5,495.0,272.5,478.5,270.5,0.0,0.0,459.0,278.0,492.5,339.25,436.25,336.25,497.0,407.0,442.0,404.0,546.0,421.25,478.75,377.0,482.0,474.5,437.5,476.75,505.5,565.0,441.5,588.0,485.0,626.0,425.0,679.0
22,487.0,275.0,495.0,268.0,477.75,266.25,0.0,0.0,458.0,273.75,493.0,332.5,437.0,329.25,494.5,402.0,442.25,392.0,548.5,395.75,478.5,354.0,484.5,470.75,439.5,473.0,505.5,562.5,442.0,585.0,486.0,626.0,424.75,678.0
23,487.75,270.0,495.5,263.5,478.25,261.5,0.0,0.0,457.75,269.5,491.0,329.25,439.0,322.5,495.0,401.25,443.5,378.5,541.5,371.25,475.75,326.5,486.0,466.0,441.75,467.5,504.0,558.5,442.5,581.0,486.75,625.0,424.0,676.0
24,488.5,262.0,496.0,255.375,479.0,253.75,0.0,0.0,459.0,261.0,497.5,318.75,439.0,311.5,516.0,376.75,435.5,356.75,524.0,323.5,467.25,304.25,490.0,456.75,443.0,458.0,503.75,552.0,439.0,573.0,488.5,622.0,423.25,673.5
25,488.25,253.0,495.0,245.875,477.5,246.125,0.0,0.0,457.5,256.25,498.0,311.0,437.0,304.75,524.0,365.5,429.25,348.25,498.0,344.25,464.5,297.75,491.0,452.5,442.5,454.25,504.25,547.0,435.5,571.5,489.75,618.0,422.5,673.5
26,486.25,249.5,493.0,241.75,475.5,241.375,0.0,0.0,455.25,250.25,491.75,305.25,433.25,299.5,527.0,350.5,423.5,345.0,497.5,321.0,465.25,291.5,491.0,446.75,443.75,448.75,503.0,546.0,433.25,566.0,491.5,617.0,421.75,672.5
27,478.5,244.75,486.5,237.75,469.75,235.5,0.0,0.0,451.25,240.0,488.5,293.5,428.25,293.0,540.5,328.5,418.5,347.5,532.0,283.0,468.0,290.75,492.25,439.0,443.5,442.5,504.0,538.5,431.25,562.0,494.25,617.0,420.75,673.0
28,472.25,238.0,481.0,231.25,464.0,228.5,0.0,0.0,446.75,232.75,491.25,284.25,424.5,289.5,548.5,310.5,411.0,352.5,515.0,291.5,456.5,302.75,495.25,431.75,443.25,435.5,504.0,534.0,430.75,555.0,497.0,614.5,419.0,669.5
29,465.75,232.5,475.25,225.5,456.0,223.25,485.5,235.25,440.0,230.0,492.5,285.75,420.0,289.5,556.5,290.75,408.25,356.25,541.5,241.0,453.5,308.25,497.5,429.0,443.75,432.5,504.75,532.0,431.0,551.0,499.25,614.5,418.75,667.0
