,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,429.0,244.125,433.5,235.25,418.5,237.0,0.0,0.0,400.0,245.0,450.5,297.0,384.0,301.25,460.0,362.25,377.75,373.5,472.5,419.0,379.5,436.5,447.5,422.25,404.75,424.75,430.0,516.5,404.75,529.0,419.5,598.0,399.5,636.0
1,428.75,244.125,432.75,235.0,418.25,237.0,0.0,0.0,399.25,244.75,448.75,296.5,384.0,301.5,460.25,362.5,378.0,375.0,473.5,419.0,380.25,437.75,447.5,421.75,405.75,424.5,430.5,516.0,405.5,529.5,420.0,598.0,399.5,636.0
2,428.0,243.5,431.5,234.375,417.0,236.625,0.0,0.0,398.25,245.375,447.5,296.0,384.25,302.75,457.0,361.5,379.5,377.25,473.25,416.75,383.25,439.0,447.75,421.75,406.5,425.0,431.0,514.0,405.5,527.5,419.5,597.0,399.25,634.0
3,427.0,243.5,430.5,233.875,416.0,236.75,0.0,0.0,397.25,245.375,445.0,294.75,384.75,302.75,456.0,359.5,383.5,376.25,474.0,412.5,391.5,435.75,446.5,421.25,407.75,425.0,429.5,517.0,407.5,528.0,418.25,596.5,400.25,633.5
4,426.25,243.25,429.75,233.5,415.0,236.625,0.0,0.0,396.75,246.0,444.0,293.75,385.0,302.5,453.0,358.25,385.25,375.25,474.5,408.0,395.5,435.0,446.5,421.5,408.75,425.75,429.0,518.0,407.75,529.5,418.0,597.0,400.25,635.0
5,425.75,242.875,429.0,233.25,414.75,236.375,0.0,0.0,395.75,245.75,442.5,293.5,385.5,302.5,452.0,358.0,387.5,375.25,479.5,404.5,398.5,436.5,446.5,423.25,409.25,427.75,428.25,520.0,408.25,531.5,417.0,598.0,400.75,635.0
6,424.75,242.25,428.0,232.75,413.5,235.75,0.0,0.0,395.25,245.5,441.5,293.0,386.0,302.0,449.75,355.25,389.25,373.5,481.0,396.25,403.75,432.5,446.5,422.0,410.0,426.5,428.5,519.0,408.5,530.5,417.5,598.0,400.5,635.0
7,423.5,241.75,427.0,232.375,411.75,235.375,0.0,0.0,394.0,245.625,439.25,291.75,387.0,300.25,450.0,354.75,395.0,370.25,494.75,383.75,419.0,423.0,443.75,420.0,407.75,424.25,428.5,519.0,409.5,530.0,418.0,598.0,401.25,636.5
8,423.0,240.0,425.75,230.75,411.5,234.5,0.0,0.0,393.75,243.75,438.5,292.0,387.25,297.5,451.0,354.5,397.5,364.75,501.25,377.0,430.5,408.5,443.75,420.25,407.25,423.5,429.0,518.0,408.5,530.5,422.0,600.0,400.5,636.0
9,422.75,239.25,425.25,230.0,410.5,234.25,0.0,0.0,393.25,244.5,437.25,292.25,389.5,296.5,449.75,352.25,398.5,361.0,507.0,365.0,438.0,397.75,441.75,421.5,407.0,424.75,428.5,517.0,408.5,529.0,420.5,600.0,400.0,634.5
10,422.25,239.125,424.5,230.125,409.5,233.0,0.0,0.0,393.25,245.25,436.75,290.75,390.25,296.25,453.5,347.25,401.5,353.75,510.0,351.0,434.25,371.25,441.5,418.0,407.5,421.5,427.75,520.0,408.75,530.5,420.25,597.5,401.0,636.0
11,422.0,237.25,424.25,228.5,409.25,230.875,0.0,0.0,393.0,244.0,434.5,289.5,389.5,294.75,456.75,344.0,405.5,347.25,511.25,338.0,447.5,337.25,442.0,418.0,408.75,421.75,427.25,520.5,410.75,529.5,419.0,598.0,401.0,633.0
12,422.25,235.875,424.75,227.375,408.75,229.875,0.0,0.0,392.75,243.75,435.0,290.75,390.5,292.25,461.75,340.25,409.0,340.0,513.5,326.0,437.25,318.5,441.25,418.5,408.0,421.25,428.0,521.0,411.25,530.0,419.5,597.0,400.75,634.0
